CustomerID,Age,Gender,City,State,No_of_orders_placed,Sign_up_date,Last_order_placed_date,is_premium_member,Women’s_Clothing,Men’s_Clothing,Kid’s_Clothing,Home_&_Living,Beauty,Electronics,Preferred_Theme
CusID_00126,22.0,Male,Vancouver,British Columbia,4.0,2017-06-23,2021-04-01,0,2.9457009850918285,8.924431447068924,2.0,2.325376234864391,1.924891256495708,9.820254458636422,New_UI
CusID_00927,,Female,Budapest,Central Hungary,9.0,2018-05-21,2020-01-26,0,6.115228853394796,2.3639263015001606,6.968751527392246,7.355853664092418,8.561460947040429,2.162228967064144,Old_UI
CusID_01646,26.0,Male,Mumbai,Maharashtra,,2019-02-15,2020-11-28,0,1.0,3.0,1.7665303566306665,3.4718020344579243,0.8081474999027778,9.055563169372428,New_UI
CusID_06228,,Male,San Francisco,California,7.0,2019-07-18,2020-11-16,0,2.1164750378246806,9.064060372714064,5.387599354099439,,0.4590895745796429,7.343460936558402,New_UI
CusID_04239,29.0,Female,Taipei,Taiwan,,2018-02-05,2020-03-12,0,7.352877745800312,1.9957444515604523,2.676853443514541,7.159554421467693,8.184694755967064,2.0,Old_UI
CusID_01061,28.0,Not_Specified,Bercelona,Catalonia,15.0,2019-06-22,2021-07-18,1,3.4133076553436315,3.639450410686929,7.809194134189703,1.3157507388254053,5.043576750643719,3.412935427220397,Old_UI
CusID_05227,16.0,Not_Specified,Kolkata,West Bengal,14.0,2018-10-14,2020-01-07,1,3.661765257063117,4.578712680249651,8.769435707398193,5.399276663446339,4.363722035025502,3.881251338934245,Old_UI
CusID_07324,24.0,Male,Taipei,Taiwan,5.0,2018-11-26,2021-08-19,0,3.767386352326501,4.0,0.906187168192953,3.0327931522273213,2.124064890980025,-77.0,New_UI
CusID_05268,25.0,Female,Los Angeles,California,,2019-03-07,2021-09-02,0,8.54511925822227,3.0,5.903997844680982,7.487764832991493,8.351918327623345,2.4534501327016294,New_UI
CusID_00005,43.0,Female,Paris,Ile-De-France,,2017-03-30,2020-12-08,1,6.580176483481267,5.2577664696342215,8.15332744417911,9.183203213233,8.975468840744249,0.8632014539742758,Old_UI
CusID_07451,31.0,Not_Specified,Los Angeles,California,15.0,2019-06-28,2021-11-10,1,1.496653164491038,3.48603431230406,1.3158761445689988,0.2032830194112485,3.4743461576500008,7.376128085344633,New_UI
CusID_00938,24.0,Female,Vienna,Vienna,8.0,2017-07-31,2021-10-02,0,7.169039858128411,4.587493208726051,7.963994228912263,,0.0,1.8185970314845008,Old_UI
CusID_02129,23.0,Not_Specified,Perth,Western Australia,15.0,2017-05-21,2021-04-23,1,2.2104816479725384,4.462279241509067,7.523793089428848,3.679550796531805,2.8581134374383543,3.3111064518271767,Old_UI
CusID_04528,33.0,Female,Delhi,New Delhi,5.0,2017-10-01,2021-06-07,0,6.217282113672378,0.5805465448912163,,7.559558812428343,9.76744558127055,1.9190828398229829,Old_UI
CusID_00321,34.0,Female,Vienna,Vienna,7.0,2017-04-14,2021-10-19,0,-66.0,3.398479987318513,9.16348732769683,4.9362644809904,8.262180063899953,3.6405138653012266,Old_UI
CusID_03415,48.0,Female,Bercelona,Catalonia,14.0,2016-05-29,2020-02-13,1,7.535332277534168,3.507330241759642,8.707703233933978,8.908291430163214,1.0,0.3952612316118877,Old_UI
CusID_08015,45.0,Female,Los Angeles,California,,2019-07-09,2021-03-25,1,3.428934658246639,3.523077035709397,9.0310741280984,7.730568352771872,2.0,1.0271087438992497,New_UI
CusID_00604,25.0,Male,Budapest,Central Hungary,8.0,2018-03-08,2020-05-31,0,3.6113483911911137,0.0,0.1461745516446193,2.3207594448306432,0.4845940546891537,2.0,New_UI
CusID_06792,23.0,Male,Paris,Ile-De-France,10.0,2018-12-22,2021-12-05,0,4.4017949904399405,8.471699149824245,0.0754507570220907,0.3326153351870232,12.865905939768242,9.235032736634016,New_UI
CusID_08575,46.0,Male,New York City,New York,3.0,2019-10-22,2021-10-10,1,1.0,4.719079105797582,4.750394548566413,,2.8362006726895537,8.248529778039975,New_UI
CusID_01323,17.0,Female,Berlin,Berlin,8.0,2019-08-07,2020-04-25,0,5.791428383688433,2.933511740254408,6.116594554145896,5.611440108603518,8.645551853264713,0.3540382434385576,New_UI
CusID_07567,26.0,Male,San Francisco,California,7.0,2018-07-27,2021-02-16,1,2.0,5.7933816085474685,3.0,4.294820845693015,0.3436677413878942,7.195261864408012,New_UI
CusID_01884,22.0,Male,Mumbai,Maharashtra,8.0,2019-02-28,2021-04-03,0,1.1929580086358045,9.564783312725645,3.438439639760185,4.603910412214903,-10.098176070908476,9.882164593655713,New_UI
